DRXFDCD,DRXFCLD,parent_foodcode,parent_desc,Similarity,
54403000,"POPCORN, POPPED IN OIL, UNBUTTERED",54403045,"Popcorn, popped in oil, unbuttered",1,
53542000,"Snack bar, oatmeal",53712000,"Snack bar, oatmeal",1,
32105045,"Egg omelet or scrambled egg, with cheese and dark-green vegetables",32130650,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",0.99,
56207180,"Couscous, plain, cooked, fat added in cooking",56207160,"Couscous, plain, cooked",0.979,
56207150,"Couscous, plain, cooked, fat not added in cooking",56207160,"Couscous, plain, cooked",0.979,
73111270,"Peas and carrots, canned, low sodium, fat not added in cooking",73111203,"Peas and carrots, cooked, from canned, NS as to fat added in cooking",0.968,
73111260,"Peas and carrots, canned, low sodium, fat added in cooking",73111233,"Peas and carrots, cooked, from canned, made with oil",0.968,
51201070,"Bread, whole wheat, 100%, made from home recipe or purchased at bakery, toasted",51300150,"Bread, whole wheat, made from home recipe or purchased at bakery, toasted",0.967,
56207080,"Wheat, cream of, cooked, NS as to regular, quick, or instant, fat added in cooking",56207005,"Cream of wheat, NS as to regular, quick, or instant, fat added",0.966,
53216000,"COOKIE, COCONUT & NUT",53215500,"Cookie, coconut",0.966,
51161150,"ROLL, SWEET, W/ FRUIT & NUTS, FROSTED",51161020,"Roll, sweet, with fruit, frosted",0.965,
83203250,"MAYONNAISE-TYPE SALAD DRESSING, FAT-FREE",83300700,"Mayonnaise, fat free",0.964,
22601020,"PORK BACON, SMOKED OR CURED, COOKED, LEAN ONLY",22601000,"Pork bacon, smoked or cured, cooked",0.964,
12120105,"Cream, half and half, low fat",12120100,"Cream, half and half",0.964,
56207360,"Wheat cereal, chocolate flavored, cooked, fat not added in cooking",56207370,"Wheat cereal, chocolate flavored, cooked",0.962,
31109010,"EGGS, WHITE ONLY, COOKED",31108100,"Egg, white, cooked, NS as to fat",0.962,
56117010,"Long rice noodles (made from mung beans), cooked, fat added in cooking",56116990,"Long rice noodles, made from mung beans, cooked",0.962,
51161200,"ROLL, SWEET, W/ NUTS, NO FROSTING",51160000,"Roll, sweet, no frosting",0.962,
24143200,"CHICKEN, DRUMSTICK, STEWED, NS AS TO SKIN",24143220,"Chicken drumstick, stewed, skin not eaten",0.962,
24198730,"Chicken nuggets, from fast food / restaurant",24198732,"Chicken nuggets, from restaurant",0.962,
93404500,SANGRIA,93404550,"Sangria, red",0.961,
53544300,"Granola bar, high fiber, coated with non-chocolate yogurt coating",53714300,"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",0.961,
24400000,"CORNISH GAME HEN, COOKED, NS AS TO SKIN",24400010,"Cornish game hen, cooked, skin eaten",0.961,
28141200,"CHICKEN TERIYAKI W/ RICE, VEGETABLE (FROZEN MEAL)",28141201,"Teriyaki chicken with rice and vegetable, diet frozen meal",0.959,
32105010,"EGG OMELET OR SCRAMBLED EGG, W/ CHEESE",32130290,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",0.957,
53544400,"Granola bar, with rice cereal",53714400,"Cereal or granola bar, with rice cereal",0.957,
24201310,"TURKEY, LIGHT & DARK MEAT, ROASTED, NS AS TO SKIN",24201320,"Turkey, light and dark meat, roasted, skin not eaten",0.955,
41811900,"SOYBURGER, MEATLESS, NO BUN",41901020,"Soyburger, meatless, with cheese on bun",0.953,remove cheese and bun
92611600,"Horchata beverage, NFS",92610030,"Horchata beverage, made with milk",0.952,
24201110,"TURKEY, LIGHT MEAT, ROASTED, NS AS TO SKIN",24201120,"Turkey, light meat, roasted, skin not eaten",0.951,
51161070,"ROLL, SWEET, W/ FRUIT, FROSTED, FAT FREE",51161020,"Roll, sweet, with fruit, frosted",0.95,
51202000,"Muffin, English, whole wheat, 100%",51303030,"Muffin, English, whole wheat",0.949,
54102110,"CRACKERS, GRAHAM, FAT FREE",54102010,Graham crackers,0.949,
53544230,"Granola bar, oats, nuts, coated with non-chocolate coating",53714230,"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",0.948,
58145130,MACARONI OR NOODLES W/ CHEESE & BEEF,58145135,Macaroni or noodles with cheese and meat,0.947,
25220430,"BOLOGNA, BEEF",25220410,"Bologna, NFS",0.946,
58106735,"Pizza with extra meat and extra vegetables, NS as to type of crust",58106737,"Pizza with extra meat and extra vegetables, thick crust",0.946,
24153200,"CHICKEN, THIGH, STEWED, NS AS TO SKIN",24153210,"Chicken thigh, stewed, skin eaten",0.944,
11427000,"Yogurt, chocolate, nonfat milk",11460200,"Yogurt, frozen, chocolate, nonfat milk",0.944,
25220370,"Bratwurst, beef, cooked",25220350,Bratwurst,0.944,
24104010,"Chicken, NS as to part, fried, no coating, skin eaten",24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",0.944,
24201210,"TURKEY, DARK MEAT, ROASTED, NS AS TO SKIN",24201220,"Turkey, dark meat, roasted, skin not eaten",0.943,
23108020,"Lamb, shoulder, cooked, lean only eaten",23107020,"Lamb, shoulder chop, cooked, lean only eaten",0.943,
53544210,"GRANOLA BAR, W/ COCONUT, CHOCOLATE-COATED",53714210,"Cereal or granola bar, with coconut, chocolate coated",0.942,
24123100,"CHICKEN, BREAST, STEWED, NS AS TO SKIN",24123110,"Chicken breast, stewed, skin eaten",0.941,
12210305,"Cream substitute, sugar free, liquid",12210520,"Coffee creamer, soy, liquid",0.94,
24147263,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten, made with oil",24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.94,
24147253,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, made with oil",24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.94,
25221920,"VIENNA SAUSAGE, CHICKEN, CANNED",25221910,"Vienna sausage, canned",0.939,
51320040,"Roll, wheat or cracked wheat, made from home recipe or purchased at bakery",51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",0.939,
58160204,"Rice with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat added in cooking",58160640,"Rice, white, with carrots and dark green vegetables, NS as to fat",0.938,
58160202,"Rice with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat not added in cooking",58160650,"Rice, white, with carrots and dark green vegetables, no added fat",0.938,
58160200,"Rice with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, NS as to fat added in cooking",58160640,"Rice, white, with carrots and dark green vegetables, NS as to fat",0.938,
21501350,"Ground beef, 90% - 94% lean, cooked",21500100,"Ground beef, cooked",0.937,
21501200,"GROUND BEEF, LEAN, COOKED",21500100,"Ground beef, cooked",0.937,
11426000,"Yogurt, chocolate, whole milk",11460430,"Yogurt, frozen, chocolate, whole milk",0.937,
12210500,"Cream substitute, sugar free, powder",91200000,"Sugar substitute, powder, NFS",0.937,
58107220,"WHITE PIZZA, THIN CRUST",58107205,"White pizza, cheese, thin crust",0.935,
61201000,"GRAPEFRUIT JUICE, NFS",61201020,"Grapefruit juice, 100%, NS as to form",0.935,
58107230,"WHITE PIZZA, THICK CRUST",58107207,"White pizza, cheese, thick crust",0.933,
53204500,"COOKIE, BROWNIE, W/ CREAM CHEESE FILLING, W/O ICING",53204100,"Cookie, brownie, with icing or filling",0.933,
11710601,"ENFAMIL W/ IRON, INFANT FORMULA, READY-TO-FEED",11710661,"Infant formula, ready-to-feed (Enfamil A.R.)",0.933,
58160209,"Rice with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat added in cooking",58160640,"Rice, white, with carrots and dark green vegetables, NS as to fat",0.932,
58160207,"Rice with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat not added in cooking",58160650,"Rice, white, with carrots and dark green vegetables, no added fat",0.932,
58160205,"Rice with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, NS as to fat added in cooking",58160640,"Rice, white, with carrots and dark green vegetables, NS as to fat",0.932,
51303020,"Muffin, English, wheat or cracked wheat, toasted",51303010,"Muffin, English, wheat or cracked wheat",0.931,
24301000,"DUCK, ROASTED, NS AS TO SKIN",24301010,"Duck, roasted, skin eaten",0.931,
32105100,"EGG OMELET OR SCRAMBLED EGG, W/ POTATOES OR ONIONS",32131220,"Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat",0.93,
52308020,MATZO BALL,58404500,Matzo ball soup,0.93,
71501050,"WHITE POTATO, FROM FRESH,MASHED,MADE W/ MILK,FAT & CHEESE",71501011,"Potato, mashed, from fresh, made with milk, with cheese",0.929,
55211000,"WAFFLE, PLAIN, FAT FREE",55211050,"Waffle, plain, reduced fat",0.929,
53521250,"Doughnut, wheat",53520000,"Doughnut, NFS",0.929,
24157253,"Chicken, thigh, coated, baked or fried, prepared skinless, coating eaten, made with oil",24157302,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",0.929,
24127163,"Chicken, breast, coated, baked or fried, prepared skinless, coating not eaten, made with oil",24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.928,
28145010,"TURKEY W/ DRESSING, GRAVY, POTATO (FROZEN MEAL)",28145210,"Turkey with gravy, dressing, potatoes, vegetable, frozen meal",0.928,
24127153,"Chicken, breast, coated, baked or fried, prepared skinless, coating eaten, made with oil",24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.928,
24127141,"Chicken, breast, coated, baked or fried, prepared skinless, NS as to coating eaten, fat not added in cooking",24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.927,
55101020,"Pancakes, plain, fat free",55101015,"Pancakes, plain, reduced fat",0.926,
53543100,"Granola bar, peanuts, oats, sugar, wheat germ",53713100,"Cereal or granola bar, peanuts , oats, sugar, wheat germ",0.926,
58406020,"Turkey noodle soup, home recipe",58403040,"Chicken or turkey noodle soup, home recipe",0.925,
51208100,"BAGEL, 100% WHOLE WHEAT, W/ RAISINS",51301805,"Bagel, whole wheat, with raisins",0.925,
52406010,"BREAD, WHOLE WHEAT, W/ NUTS",52403000,"Bread, nut",0.923,
24203000,"TURKEY, WING, COOKED, NS AS TO SKIN",24203010,"Turkey, wing, cooked, skin not eaten",0.922,
71501020,"WHITE POTATO, FROM FRESH,MASHED,MADE W/ MILK & FAT",71501010,"Potato, mashed, from fresh, made with milk",0.921,
57342010,"Smorz, Kellogg's",57341300,Cereal (Kellogg's Smorz),0.921,
53544220,"GRANOLA BAR W/ NUTS, CHOCOLATE-COATED",53714220,"Cereal or granola bar with nuts, chocolate coated",0.921,
58306050,CHEESE ENCHILADA W/ BEANS & RICE (FROZEN MEAL),58306070,"Cheese enchilada, frozen meal",0.92,
32400010,"Egg white omelet or scrambled egg, NS as to fat added in cooking",32400055,"Egg white omelet, scrambled, or fried, NS as to fat",0.919,
76607030,"Potatoes with cheese and ham, baby food, toddler",76420000,"Potatoes, baby food, toddler",0.919,
32400011,"Egg white omelet or scrambled egg, fat not added in cooking",32400080,"Egg white omelet, scrambled, or fried, no added fat",0.919,
11710600,"ENFAMIL W/ IRON, INFANT FORMULA, NS AS TO FORM",11710660,"Infant formula, NS as to form (Enfamil A.R.)",0.919,
32400012,"Egg white omelet or scrambled egg, fat added in cooking",32400055,"Egg white omelet, scrambled, or fried, NS as to fat",0.919,
61213000,"TANGERINE JUICE, NFS",61213220,"Tangerine juice, 100%",0.918,
53118310,"Cake, sponge, chocolate, with icing",53118300,"Cake, sponge, chocolate",0.918,
53544200,"GRANOLA BAR, CHOCOLATE-COATED",53714200,"Cereal or granola bar, chocolate coated, NFS",0.917,
54408040,"Pretzels, soft, unsalted",54408456,"Pretzels, soft, from frozen, unsalted",0.917,
32105055,"Egg omelet or scrambled egg, with cheese and vegetables other than dark-green",32130710,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat",0.917,
54408080,"Pretzel, gluten free",54408485,"Pretzels, soft, gluten free",0.917,
57000000,"CEREAL, NFS",57000100,"Cereal, oat, NFS",0.916,
24147252,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, made with butter",24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.916,
24160120,"CHICKEN, WING, NS AS TO COOKING METHOD, W/O SKIN",24160110,"Chicken wing, NS as to cooking method",0.915,
51630110,"BAGEL, MULTIGRAIN, W/ RAISINS, TOASTED",51630100,"Bagel, multigrain, with raisins",0.915,
58100230,BURRITO W/ CHICKEN & CHEESE,58100200,Burrito with chicken,0.913,
53541006,Quaker Chewy Dipps Granola Bar,53711006,Cereal or granola bar (Quaker Chewy Dipps Granola Bar),0.913,
21601250,"BEEF, BACON, COOKED, LEAN ONLY",21601000,"Beef, bacon, cooked",0.913,
32400050,"Egg white omelet or scrambled egg, with cheese",32400100,"Egg white, omelet, scrambled, or fried, with cheese",0.912,
53541002,Quaker Chewy 90 Calorie Granola Bar,53711002,Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),0.912,
51186120,"MUFFIN, ENGLISH, W/ RAISINS, TOASTED",51186100,"Muffin, English, with raisins",0.911,
76607020,"Vegetable and ham, baby food, junior",76603020,"Vegetable and beef, baby food, junior",0.91,
51201110,"Bread, whole wheat, 100%, with raisins",51300210,"Bread, whole wheat, with raisins",0.91,
76607010,"VEGETABLE & HAM, BABY, STRAINED",76501000,"Vegetables and rice, baby food, strained",0.91,
53541004,Quaker Chewy 25% Less Sugar Granola Bar,53711004,Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),0.909,
21500200,"GROUND BEEF OR PATTY, BREADED, COOKED",21500310,"Ground beef patty, cooked",0.909,
51303040,"MUFFIN, ENGLISH, ""WHOLE"" WHEAT, TOASTED",51303030,"Muffin, English, whole wheat",0.909,
53104570,"CHEESECAKE, DIET, WITH FRUIT",53104550,Cheesecake with fruit,0.908,
54210010,"Cracker, multigrain, salt free",54326000,"Crackers, multigrain",0.907,
91106000,"Sugar substitute, sugar-aspartame blend, dry powder",91201010,"Sugar substitute, aspartame, powder",0.907,
53541000,Quaker Chewy Granola Bar,53711000,Cereal or granola bar (Quaker Chewy Granola Bar),0.907,
32105020,"EGG OMELET OR SCRAMBLED EGG, W/ FISH",32129996,"Egg omelet or scrambled egg, with fish",0.906,"added code 32129996 for Egg omelet or scrambled egg, with fish"
43103100,Sesame sauce,43103300,Tahini,0.906,
25210510,"Frankfurter or hot dog, low salt",25210110,"Frankfurter or hot dog, NFS",0.906,
51201020,"BREAD, 100% WHOLE WHEAT, TOASTED",51300120,"Bread, whole wheat, toasted",0.905,
81105030,"BUTTER-MARGARINE BLEND, STICK, UNSALTED",81105010,"Butter-margarine blend, stick, salted",0.904,
81101510,"LIGHT BUTTER, STICK, UNSALTED",81101520,"Butter, light",0.902,
27560400,"Chicken frankfurter or hot dog, plain, on bun",27564240,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bun",0.902,
51201150,"Bread, pita, whole wheat, 100%",51301600,"Bread, pita, whole wheat",0.902,
52405100,"BREAD, FRUIT & NUT",52405010,"Bread, fruit",0.902,
58104600,Chimichanga with beef and rice,58104500,Chimichanga with meat,0.901,
24127152,"Chicken, breast, coated, baked or fried, prepared skinless, coating eaten, made with butter",24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.901,
11710388,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with plain bottled water",11710378,"Infant formula, powder, made with plain bottled water (Similac Sensitive)",0.901,
58132340,Spaghetti with tomato sauce and vegetables,58146303,"Pasta with tomato-based sauce, and added vegetables, ready-to-heat",0.901,
53540700,Kellogg's Special K bar,53710700,Cereal or granola bar (Kellogg's Special K bar),0.9,
56201520,"Cornmeal mush, fried",56201515,"Cornmeal mush, NS as to fat",0.9,
51180090,"BAGEL W/ FRUIT OTHER THAN RAISINS, TOASTED",51180080,"Bagel, with fruit other than raisins",0.9,
56204990,"RICE,WHITE,COOKED, REG, NS AS TO FAT ADDED",56205008,"Rice, white, cooked, no added fat",0.9,
24163100,"CHICKEN, WING, STEWED, NS AS TO SKIN",24163110,"Chicken wing, stewed",0.899,
64104500,APPLE-GRAPE JUICE,67203500,"Apple-grape juice, baby food",0.899,
24163120,"CHICKEN, WING, STEWED, W/O SKIN",24163110,"Chicken wing, stewed",0.899,
53107100,"CAKE, CUPCAKE, NS AS TO TYPE, W/O ICING",53100100,"Cake or cupcake, NS as to type",0.897,
53107000,"Cake, cupcake, NS as to type or icing",53100100,"Cake or cupcake, NS as to type",0.897,
25220440,"BOLOGNA, TURKEY",25220410,"Bologna, NFS",0.897,
24137260,"Chicken, leg (drumstick and thigh), coated, baked or fried, prepared skinless, coating not eaten",24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.897,
58147100,PASTA W/ PESTO SAUCE,81302075,Pasta with pesto sauce,0.897,added code 81302075 for pasta with pesto sauce
72116140,CAESAR SALAD (W/ ROMAINE),72116150,"Caesar salad, with romaine, no dressing",0.897,
64104150,APPLE-CHERRY JUICE,67203400,"Apple-cherry juice, baby food",0.897,
24142220,"CHICKEN, DRUMSTICK, ROASTED OR BROILED, W/O SKIN",24142301,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",0.896,
24142210,"CHICKEN, DRUMSTICK, ROASTED OR BROILED, W/ SKIN",24142300,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",0.896,
24142200,"CHICKEN, DRUMSTICK, ROASTED OR BROILED, NS AS TO SKIN",24142301,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",0.896,
25230905,"Turkey or chicken breast, low salt, prepackaged or deli, luncheon meat",25230780,"Turkey, prepackaged or deli, luncheon meat",0.895,
58104110,"NACHOS W/ BEANS, NO CHEESE",58104095,Nachos with cheese,0.895,"added code 58104095 for nachos with beans, no cheese"
57404100,MALT-O-MEAL TOASTY O'S CEREAL,57306700,Cereal (Malt-O-Meal Toasted Oat Cereal),0.894,
58103110,"TAMALE W/ MEAT &/OR POULTRY (INCL TAMALE, NFS)",58103120,Tamale with meat,0.893,
11710602,"ENFAMIL W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11710632,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",0.893,
25210700,"FRANKFURTER OR HOT DOG, MEAT & POULTRY, LOWFAT",25210280,"Frankfurter or hot dog, meat and poultry",0.892,
24144223,"Chicken, drumstick, fried, no coating, skin not eaten, made with oil",24147300,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.892,
63401030,APPLE & FRUIT SALAD W/ DRESSING,63401010,Apple salad with dressing,0.892,
24144213,"Chicken, drumstick, fried, no coating, skin eaten, made with oil",24147301,"Chicken drumstick, fried, coated, skin / coating not eaten, from raw",0.892,
71305110,"WHITE POTATO, SCALLOPED, W/ HAM",71305040,"Potato, scalloped, from fresh, with meat",0.892,
67203510,"APPLE-GRAPE JUICE, BABY, W/ CALCIUM",67202010,"Apple juice, with added calcium, baby food",0.891,
71405000,"WHITE POTATO, HASH BROWN",71404000,"Potato, hash brown, NFS",0.891,
58106520,"PIZZA W/ MEAT, THIN CRUST",58106650,"Pizza with extra meat, thin crust",0.89,
71501310,"WHITE POTATO, FROM FRESH, MASHED, NS AS TO MILK OR FAT",71501010,"Potato, mashed, from fresh, made with milk",0.89,
27560320,"Frankfurter or hot dog, plain, on bun",25210110,"Frankfurter or hot dog, NFS",0.89,
51208000,"Bagel, whole wheat, 100%",51301750,"Bagel, whole wheat",0.89,
51186020,"MUFFIN, ENGLISH, TOASTED",51186010,"Muffin, English",0.889,
51155010,"Roll, French or Vienna, toasted",51155000,"Roll, French or Vienna",0.889,
11710389,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with baby water",11710379,"Infant formula, powder, made with baby water (Similac Sensitive)",0.889,
32105170,EGG OMELET OR SCRAMBLED EGG W/ CHICKEN,32129995,"Egg omelet or scrambled egg, with chicken",0.888,"added code 32129995 for Egg omelet or scrambled egg, with chicken  "
51000230,"ROLL, NS AS TO MAJOR FLOUR, TOASTED",51000200,"Roll, NS as to major flour",0.888,
11710387,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with tap water",11710377,"Infant formula, powder, made with tap water (Similac Sensitive)",0.888,
58161404,"Rice, brown, with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat added in cooking",58161504,"Rice, brown, with carrots and dark green vegetables, fat added",0.887,
58161402,"Rice, brown, with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat not added in cooking",58161502,"Rice, brown, with carrots and dark green vegetables, no added fat",0.887,
58161400,"Rice, brown, with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, NS as to fat added in cooking",58161500,"Rice, brown, with carrots and dark green vegetables, NS as to fat",0.887,
25220400,"BOLOGNA, PORK AND BEEF",25220410,"Bologna, NFS",0.886,
58104140,NACHOS W/ BEEF & CHEESE,58104130,Nachos with meat and cheese,0.886,
64134000,"FRUIT SMOOTHIE DRINK, W/ FRUIT ONLY",64134015,"Fruit smoothie, with whole fruit, no dairy",0.886,
53540250,"BREAKFAST BAR, CEREAL CRUST W/ FRUIT FILLING, FAT FREE",53714520,"Breakfast bar, cereal crust with fruit filling, lowfat",0.886,
53544250,"GRANOLA BAR, COATED W/ NONCHOCOLATE COATING",53714250,"Cereal or granola bar, coated with non-chocolate coating",0.886,
53511500,"DANISH PASTRY, W/ CHEESE, FAT FREE, NO CHOL",53511000,"Danish pastry, with cheese",0.885,
71201250,"WHITE POTATO, CHIPS, RESTRUCTURED, BAKED",71200300,"Potato chips, restructured, plain",0.885,
54430010,Yogurt chips,11400000,"Yogurt, NFS",0.885,
58106530,"PIZZA W/ MEAT, THICK CRUST",58109040,"Pizza, with meat, whole wheat thick crust",0.885,
92301080,"TEA, PRESWEETENED W/ LOW CALORIE SWEETENER",92305090,"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",0.885,
53544410,Quaker Granola Bites,53711100,Cereal or granola bar (Quaker Granola Bites),0.884,
81103120,"Margarine-like spread, tub, unsalted",81104100,"Margarine like spread, fat free, tub, salted",0.884,
11710102,"ENFAMIL, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11710632,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",0.884,
53542210,"GRANOLA BAR, NONFAT",53712210,"Cereal or granola bar, nonfat",0.883,
11740302,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, FR  LIQUID CONCENTRATE",11740312,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)",0.882,
58132460,SPAGHETTI W/ TOMATO & MEAT,58146322,"Pasta with tomato-based sauce and meat, home recipe",0.882,
53543000,"Granola bar, oats, reduced sugar",53713000,"Cereal or granola bar, reduced sugar, NFS",0.882,
92301180,"TEA, DECAFFEINATED, LOW CALORIE SWEETENER, NFS",92305050,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",0.882,
58106443,"Pizza with chicken and vegetables, thick crust",58109065,"Pizza, chicken and vegetables, whole wheat thick crust",0.882,"added code 58109065 for Pizza, chicken and vegetables, whole wheat thick crust"
53540400,Kellogg's Nutri-Grain Cereal Bar,53710500,Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),0.882,
53206050,"COOKIE,RICH,CHOCOLATE CHIP,W/ CHOCOLATE FILLING",53206020,"Cookie, chocolate chip, made from home recipe or purchased at a bakery",0.881,
71501030,"WHITE POTATO, FROM FRESH, MASHED, MADE W/ FAT",71501013,"Potato, mashed, from fresh, NFS",0.88,
75609020,"PEA SOUP, PREPARED W/ WATER",71801020,"Potato soup, prepared with water",0.88,
64116010,"GRAPE JUICE, NFS",64116020,"Grape juice, 100%",0.879,
71305011,"White potato, scalloped, fat not added in cooking",71305015,"Potato, scalloped, NFS",0.879,
53104520,"CHEESECAKE, DIET",53104500,Cheesecake,0.879,
52208750,"GORDITA/SOPE SHELL,PLAIN NO FILL,GRILL,NO FAT ADDED",52208760,"Gordita/sope shell, plain, no filling",0.878,
24104000,"CHICKEN, FRIED, NO COATING, NS PART, NS SKIN",24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",0.878,
