DRXFDCD,DRXFCLD,parent_foodcode,parent_desc,Similarity
31109020.0,"Egg, white only, cooked, fat added in cooking",31108120.0,"Egg, white, cooked, fat added",1.0
92570500.0,"Fluid replacement, 5% glucose in water",95330500.0,"Fluid replacement, 5% glucose in water",1.0
24300100.0,"Duck, cooked, NS as to skin eaten",24300110.0,"Duck, cooked, skin eaten",1.0
92651000.0,Energy drink,95311000.0,Energy Drink,1.0
32104900.0,"EGG OMELET OR SCRAMBLED EGG, NS AS TO ADDED FAT",32130070.0,"Egg omelet or scrambled egg, no added fat",1.0
92650210.0,"Mountain Dew AMP Energy Drink, sugar-free",95312500.0,"Energy drink, sugar free (Mountain Dew AMP)",1.0
54408020.0,"PRETZELS, SOFT",54408400.0,"Pretzels, soft, NFS",1.0
54408010.0,"PRETZELS, HARD",54408015.0,"Pretzels, hard, NFS",1.0
54403000.0,"POPCORN, POPPED IN OIL, UNBUTTERED",54403045.0,"Popcorn, popped in oil, unbuttered",1.0
53542000.0,"Snack bar, oatmeal",53712000.0,"Snack bar, oatmeal",1.0
32105045.0,"Egg omelet or scrambled egg, with cheese and dark-green vegetables",32130650.0,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",0.99
56207180.0,"Couscous, plain, cooked, fat added in cooking",56207160.0,"Couscous, plain, cooked",0.979
56207150.0,"Couscous, plain, cooked, fat not added in cooking",56207160.0,"Couscous, plain, cooked",0.979
73111270.0,"Peas and carrots, canned, low sodium, fat not added in cooking",73103000.0,"Carrots, canned, low sodium, NS as to fat added in cooking",0.968
73111260.0,"Peas and carrots, canned, low sodium, fat added in cooking",73103000.0,"Carrots, canned, low sodium, NS as to fat added in cooking",0.968
51201070.0,"Bread, whole wheat, 100%, made from home recipe or purchased at bakery, toasted",51300150.0,"Bread, whole wheat, made from home recipe or purchased at bakery, toasted",0.967
56207080.0,"Wheat, cream of, cooked, NS as to regular, quick, or instant, fat added in cooking",56207000.0,"Cream of wheat, NS as to regular, quick, or instant, no added fat",0.966
53216000.0,"COOKIE, COCONUT & NUT",53215500.0,"Cookie, coconut",0.966
51161150.0,"ROLL, SWEET, W/ FRUIT & NUTS, FROSTED",51161020.0,"Roll, sweet, with fruit, frosted",0.965
83203250.0,"MAYONNAISE-TYPE SALAD DRESSING, FAT-FREE",83110000.0,Mayonnaise-type salad dressing,0.964
22601020.0,"PORK BACON, SMOKED OR CURED, COOKED, LEAN ONLY",22601000.0,"Pork bacon, smoked or cured, cooked",0.964
12120105.0,"Cream, half and half, low fat",12120100.0,"Cream, half and half",0.964
56207360.0,"Wheat cereal, chocolate flavored, cooked, fat not added in cooking",56207370.0,"Wheat cereal, chocolate flavored, cooked",0.962
31109010.0,"EGGS, WHITE ONLY, COOKED",31108100.0,"Egg, white, cooked, NS as to fat",0.962
56117010.0,"Long rice noodles (made from mung beans), cooked, fat added in cooking",56116990.0,"Long rice noodles, made from mung beans, cooked",0.962
51161200.0,"ROLL, SWEET, W/ NUTS, NO FROSTING",51160000.0,"Roll, sweet, no frosting",0.962
24143200.0,"CHICKEN, DRUMSTICK, STEWED, NS AS TO SKIN",24143210.0,"Chicken drumstick, stewed, skin eaten",0.962
24198730.0,"Chicken nuggets, from fast food / restaurant",24198732.0,"Chicken nuggets, from restaurant",0.962
93404500.0,SANGRIA,93404550.0,"Sangria, red",0.961
53544300.0,"Granola bar, high fiber, coated with non-chocolate yogurt coating",53714300.0,"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",0.961
24400000.0,"CORNISH GAME HEN, COOKED, NS AS TO SKIN",24400010.0,"Cornish game hen, cooked, skin eaten",0.961
28141200.0,"CHICKEN TERIYAKI W/ RICE, VEGETABLE (FROZEN MEAL)",28141201.0,"Teriyaki chicken with rice and vegetable, diet frozen meal",0.959
32105010.0,"EGG OMELET OR SCRAMBLED EGG, W/ CHEESE",32130290.0,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",0.957
53544400.0,"Granola bar, with rice cereal",53712100.0,"Cereal or Granola bar, NFS",0.957
24201310.0,"TURKEY, LIGHT & DARK MEAT, ROASTED, NS AS TO SKIN",24201320.0,"Turkey, light and dark meat, roasted, skin not eaten",0.955
41811900.0,"SOYBURGER, MEATLESS, NO BUN",41901020.0,"Soyburger, meatless, with cheese on bun",0.953
92611600.0,"Horchata beverage, NFS",92610030.0,"Horchata beverage, made with milk",0.952
24201110.0,"TURKEY, LIGHT MEAT, ROASTED, NS AS TO SKIN",24201120.0,"Turkey, light meat, roasted, skin not eaten",0.951
51161070.0,"ROLL, SWEET, W/ FRUIT, FROSTED, FAT FREE",51161020.0,"Roll, sweet, with fruit, frosted",0.95
51202000.0,"Muffin, English, whole wheat, 100%",51303030.0,"Muffin, English, whole wheat",0.949
54102110.0,"CRACKERS, GRAHAM, FAT FREE",54102010.0,Graham crackers,0.949
53544230.0,"Granola bar, oats, nuts, coated with non-chocolate coating",53714230.0,"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",0.948
58145130.0,MACARONI OR NOODLES W/ CHEESE & BEEF,58145110.0,Macaroni or noodles with cheese,0.947
25220430.0,"BOLOGNA, BEEF",25220410.0,"Bologna, NFS",0.946
58106735.0,"Pizza with extra meat and extra vegetables, NS as to type of crust",58106737.0,"Pizza with extra meat and extra vegetables, thick crust",0.946
24153200.0,"CHICKEN, THIGH, STEWED, NS AS TO SKIN",24153210.0,"Chicken thigh, stewed, skin eaten",0.944
11427000.0,"Yogurt, chocolate, nonfat milk",11460200.0,"Yogurt, frozen, chocolate, nonfat milk",0.944
25220370.0,"Bratwurst, beef, cooked",25220350.0,Bratwurst,0.944
24104010.0,"Chicken, NS as to part, fried, no coating, skin eaten",24107070.0,"Chicken, NS as to part, fried, coated, skin / coating eaten",0.944
24201210.0,"TURKEY, DARK MEAT, ROASTED, NS AS TO SKIN",24201220.0,"Turkey, dark meat, roasted, skin not eaten",0.943
23108020.0,"Lamb, shoulder, cooked, lean only eaten",23107020.0,"Lamb, shoulder chop, cooked, lean only eaten",0.943
53544210.0,"GRANOLA BAR, W/ COCONUT, CHOCOLATE-COATED",53714210.0,"Cereal or granola bar, with coconut, chocolate coated",0.942
24123100.0,"CHICKEN, BREAST, STEWED, NS AS TO SKIN",24123110.0,"Chicken breast, stewed, skin eaten",0.941
12210305.0,"Cream substitute, sugar free, liquid",91200005.0,"Sugar substitute, liquid, NFS",0.94
24147263.0,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten, made with oil",24147302.0,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.94
24147253.0,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, made with oil",24147302.0,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.94
25221920.0,"VIENNA SAUSAGE, CHICKEN, CANNED",25221910.0,"Vienna sausage, canned",0.939
51320040.0,"Roll, wheat or cracked wheat, made from home recipe or purchased at bakery",51301040.0,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",0.939
58160204.0,"Rice with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat added in cooking",27315010.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0.938
58160202.0,"Rice with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat not added in cooking",27315010.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0.938
58160200.0,"Rice with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, NS as to fat added in cooking",27315010.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0.938
21501350.0,"Ground beef, 90% - 94% lean, cooked",21500100.0,"Ground beef, cooked",0.937
21501200.0,"GROUND BEEF, LEAN, COOKED",21500100.0,"Ground beef, cooked",0.937
11426000.0,"Yogurt, chocolate, whole milk",11460430.0,"Yogurt, frozen, chocolate, whole milk",0.937
12210500.0,"Cream substitute, sugar free, powder",91200000.0,"Sugar substitute, powder, NFS",0.937
58107220.0,"WHITE PIZZA, THIN CRUST",58107205.0,"White pizza, cheese, thin crust",0.935
61201000.0,"GRAPEFRUIT JUICE, NFS",61201020.0,"Grapefruit juice, 100%, NS as to form",0.935
58107230.0,"WHITE PIZZA, THICK CRUST",58107207.0,"White pizza, cheese, thick crust",0.933
53204500.0,"COOKIE, BROWNIE, W/ CREAM CHEESE FILLING, W/O ICING",53204100.0,"Cookie, brownie, with icing or filling",0.933
11710601.0,"ENFAMIL W/ IRON, INFANT FORMULA, READY-TO-FEED",11710661.0,"Infant formula, ready-to-feed (Enfamil A.R.)",0.933
58160209.0,"Rice with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat added in cooking",27315020.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0.932
58160207.0,"Rice with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat not added in cooking",27315020.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0.932
58160205.0,"Rice with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, NS as to fat added in cooking",27315020.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0.932
51303020.0,"Muffin, English, wheat or cracked wheat, toasted",51303010.0,"Muffin, English, wheat or cracked wheat",0.931
24301000.0,"DUCK, ROASTED, NS AS TO SKIN",24301010.0,"Duck, roasted, skin eaten",0.931
32105100.0,"EGG OMELET OR SCRAMBLED EGG, W/ POTATOES OR ONIONS",32131220.0,"Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat",0.93
52308020.0,MATZO BALL,58404500.0,Matzo ball soup,0.93
71501050.0,"WHITE POTATO, FROM FRESH,MASHED,MADE W/ MILK,FAT & CHEESE",71501011.0,"Potato, mashed, from fresh, made with milk, with cheese",0.929
55211000.0,"WAFFLE, PLAIN, FAT FREE",55201000.0,"Waffle, plain",0.929
53521250.0,"Doughnut, wheat",53520000.0,"Doughnut, NFS",0.929
24157253.0,"Chicken, thigh, coated, baked or fried, prepared skinless, coating eaten, made with oil",24157302.0,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",0.929
24127163.0,"Chicken, breast, coated, baked or fried, prepared skinless, coating not eaten, made with oil",24127202.0,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.928
28145010.0,"TURKEY W/ DRESSING, GRAVY, POTATO (FROZEN MEAL)",28145210.0,"Turkey with gravy, dressing, potatoes, vegetable, frozen meal",0.928
24127153.0,"Chicken, breast, coated, baked or fried, prepared skinless, coating eaten, made with oil",24127202.0,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.928
24127141.0,"Chicken, breast, coated, baked or fried, prepared skinless, NS as to coating eaten, fat not added in cooking",24127202.0,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.927
55101020.0,"Pancakes, plain, fat free",55101000.0,"Pancakes, plain",0.926
53543100.0,"Granola bar, peanuts, oats, sugar, wheat germ",53713100.0,"Cereal or granola bar, peanuts , oats, sugar, wheat germ",0.926
58406020.0,"Turkey noodle soup, home recipe",58403040.0,"Chicken or turkey noodle soup, home recipe",0.925
51208100.0,"BAGEL, 100% WHOLE WHEAT, W/ RAISINS",51301805.0,"Bagel, whole wheat, with raisins",0.925
52406010.0,"BREAD, WHOLE WHEAT, W/ NUTS",51300110.0,"Bread, whole wheat",0.923
24203000.0,"TURKEY, WING, COOKED, NS AS TO SKIN",24203010.0,"Turkey, wing, cooked, skin not eaten",0.922
71501020.0,"WHITE POTATO, FROM FRESH,MASHED,MADE W/ MILK & FAT",71501010.0,"Potato, mashed, from fresh, made with milk",0.921
57342010.0,"Smorz, Kellogg's",57341300.0,Cereal (Kellogg's Smorz),0.921
53544220.0,"GRANOLA BAR W/ NUTS, CHOCOLATE-COATED",53714220.0,"Cereal or granola bar with nuts, chocolate coated",0.921
58306050.0,CHEESE ENCHILADA W/ BEANS & RICE (FROZEN MEAL),58306070.0,"Cheese enchilada, frozen meal",0.92
32400010.0,"Egg white omelet or scrambled egg, NS as to fat added in cooking",32130070.0,"Egg omelet or scrambled egg, no added fat",0.919
76607030.0,"Potatoes with cheese and ham, baby food, toddler",76420000.0,"Potatoes, baby food, toddler",0.919
32400011.0,"Egg white omelet or scrambled egg, fat not added in cooking",32130070.0,"Egg omelet or scrambled egg, no added fat",0.919
11710600.0,"ENFAMIL W/ IRON, INFANT FORMULA, NS AS TO FORM",11710660.0,"Infant formula, NS as to form (Enfamil A.R.)",0.919
32400012.0,"Egg white omelet or scrambled egg, fat added in cooking",32130070.0,"Egg omelet or scrambled egg, no added fat",0.919
61213000.0,"TANGERINE JUICE, NFS",61213220.0,"Tangerine juice, 100%",0.918
53118310.0,"Cake, sponge, chocolate, with icing",53118300.0,"Cake, sponge, chocolate",0.918
53544200.0,"GRANOLA BAR, CHOCOLATE-COATED",53714200.0,"Cereal or granola bar, chocolate coated, NFS",0.917
54408040.0,"Pretzels, soft, unsalted",54408456.0,"Pretzels, soft, from frozen, unsalted",0.917
32105055.0,"Egg omelet or scrambled egg, with cheese and vegetables other than dark-green",32130710.0,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat",0.917
54408080.0,"Pretzel, gluten free",54408485.0,"Pretzels, soft, gluten free",0.917
57000000.0,"CEREAL, NFS",57000100.0,"Cereal, oat, NFS",0.916
24147252.0,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, made with butter",24147302.0,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.916
24160120.0,"CHICKEN, WING, NS AS TO COOKING METHOD, W/O SKIN",24160110.0,"Chicken wing, NS as to cooking method",0.915
51630110.0,"BAGEL, MULTIGRAIN, W/ RAISINS, TOASTED",51630100.0,"Bagel, multigrain, with raisins",0.915
58100230.0,BURRITO W/ CHICKEN & CHEESE,58100200.0,Burrito with chicken,0.913
53541006.0,Quaker Chewy Dipps Granola Bar,53711006.0,Cereal or granola bar (Quaker Chewy Dipps Granola Bar),0.913
21601250.0,"BEEF, BACON, COOKED, LEAN ONLY",21601000.0,"Beef, bacon, cooked",0.913
32400050.0,"Egg white omelet or scrambled egg, with cheese",32400100.0,"Egg white, omelet, scrambled, or fried, with cheese",0.912
53541002.0,Quaker Chewy 90 Calorie Granola Bar,53711002.0,Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),0.912
51186120.0,"MUFFIN, ENGLISH, W/ RAISINS, TOASTED",51186100.0,"Muffin, English, with raisins",0.911
76607020.0,"Vegetable and ham, baby food, junior",76603020.0,"Vegetable and beef, baby food, junior",0.91
51201110.0,"Bread, whole wheat, 100%, with raisins",51300210.0,"Bread, whole wheat, with raisins",0.91
76607010.0,"VEGETABLE & HAM, BABY, STRAINED",76501000.0,"Vegetables and rice, baby food, strained",0.91
53541004.0,Quaker Chewy 25% Less Sugar Granola Bar,53711004.0,Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),0.909
21500200.0,"GROUND BEEF OR PATTY, BREADED, COOKED",21500310.0,"Ground beef patty, cooked",0.909
51303040.0,"MUFFIN, ENGLISH, ""WHOLE"" WHEAT, TOASTED",51303030.0,"Muffin, English, whole wheat",0.909
53104570.0,"CHEESECAKE, DIET, WITH FRUIT",53104550.0,Cheesecake with fruit,0.908
54210010.0,"Cracker, multigrain, salt free",54326000.0,"Crackers, multigrain",0.907
91106000.0,"Sugar substitute, sugar-aspartame blend, dry powder",91201010.0,"Sugar substitute, aspartame, powder",0.907
53541000.0,Quaker Chewy Granola Bar,53711000.0,Cereal or granola bar (Quaker Chewy Granola Bar),0.907
32105020.0,"EGG OMELET OR SCRAMBLED EGG, W/ FISH",32129990.0,"Egg omelet or scrambled egg, NS as to fat",0.906
43103100.0,Sesame sauce,82107000.0,Sesame oil,0.906
25210510.0,"Frankfurter or hot dog, low salt",25210110.0,"Frankfurter or hot dog, NFS",0.906
51201020.0,"BREAD, 100% WHOLE WHEAT, TOASTED",51300120.0,"Bread, whole wheat, toasted",0.905
81105030.0,"BUTTER-MARGARINE BLEND, STICK, UNSALTED",81105010.0,"Butter-margarine blend, stick, salted",0.904
81101510.0,"LIGHT BUTTER, STICK, UNSALTED",81101100.0,"Butter, stick, unsalted",0.902
27560400.0,"Chicken frankfurter or hot dog, plain, on bun",25210310.0,"Frankfurter or hot dog, chicken",0.902
51201150.0,"Bread, pita, whole wheat, 100%",51301600.0,"Bread, pita, whole wheat",0.902
52405100.0,"BREAD, FRUIT & NUT",52405010.0,"Bread, fruit",0.902
58104600.0,Chimichanga with beef and rice,58104500.0,Chimichanga with meat,0.901
24127152.0,"Chicken, breast, coated, baked or fried, prepared skinless, coating eaten, made with butter",24127202.0,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.901
11710388.0,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with plain bottled water",11710378.0,"Infant formula, powder, made with plain bottled water (Similac Sensitive)",0.901
58132340.0,Spaghetti with tomato sauce and vegetables,74404020.0,Spaghetti sauce with added vegetables,0.901
53540700.0,Kellogg's Special K bar,57344000.0,Cereal (Kellogg's Special K),0.9
56201520.0,"Cornmeal mush, fried",56201515.0,"Cornmeal mush, NS as to fat",0.9
51180090.0,"BAGEL W/ FRUIT OTHER THAN RAISINS, TOASTED",51180080.0,"Bagel, with fruit other than raisins",0.9
56204990.0,"RICE,WHITE,COOKED, REG, NS AS TO FAT ADDED",56205008.0,"Rice, white, cooked, no added fat",0.9
24163100.0,"CHICKEN, WING, STEWED, NS AS TO SKIN",24163110.0,"Chicken wing, stewed",0.899
64104500.0,APPLE-GRAPE JUICE,67203500.0,"Apple-grape juice, baby food",0.899
24163120.0,"CHICKEN, WING, STEWED, W/O SKIN",24163110.0,"Chicken wing, stewed",0.899
53107100.0,"CAKE, CUPCAKE, NS AS TO TYPE, W/O ICING",53100100.0,"Cake or cupcake, NS as to type",0.897
53107000.0,"Cake, cupcake, NS as to type or icing",53100100.0,"Cake or cupcake, NS as to type",0.897
25220440.0,"BOLOGNA, TURKEY",25220410.0,"Bologna, NFS",0.897
24137260.0,"Chicken, leg (drumstick and thigh), coated, baked or fried, prepared skinless, coating not eaten",24147302.0,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.897
58147100.0,PASTA W/ PESTO SAUCE,81302070.0,Pesto sauce,0.897
72116140.0,CAESAR SALAD (W/ ROMAINE),72116150.0,"Caesar salad, with romaine, no dressing",0.897
64104150.0,APPLE-CHERRY JUICE,67203400.0,"Apple-cherry juice, baby food",0.897
24142220.0,"CHICKEN, DRUMSTICK, ROASTED OR BROILED, W/O SKIN",24142300.0,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",0.896
24142210.0,"CHICKEN, DRUMSTICK, ROASTED OR BROILED, W/ SKIN",24142300.0,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",0.896
24142200.0,"CHICKEN, DRUMSTICK, ROASTED OR BROILED, NS AS TO SKIN",24142300.0,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",0.896
25230905.0,"Turkey or chicken breast, low salt, prepackaged or deli, luncheon meat",25230780.0,"Turkey, prepackaged or deli, luncheon meat",0.895
58104110.0,"NACHOS W/ BEANS, NO CHEESE",58104120.0,Nachos with cheese,0.895
57404100.0,MALT-O-MEAL TOASTY O'S CEREAL,57306700.0,Cereal (Malt-O-Meal Toasted Oat Cereal),0.894
58103110.0,"TAMALE W/ MEAT &/OR POULTRY (INCL TAMALE, NFS)",58103120.0,Tamale with meat,0.893
11710602.0,"ENFAMIL W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11710632.0,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",0.893
25210700.0,"FRANKFURTER OR HOT DOG, MEAT & POULTRY, LOWFAT",25210280.0,"Frankfurter or hot dog, meat and poultry",0.892
24144223.0,"Chicken, drumstick, fried, no coating, skin not eaten, made with oil",24147300.0,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.892
63401030.0,APPLE & FRUIT SALAD W/ DRESSING,63401010.0,Apple salad with dressing,0.892
24144213.0,"Chicken, drumstick, fried, no coating, skin eaten, made with oil",24147300.0,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.892
71305110.0,"WHITE POTATO, SCALLOPED, W/ HAM",71305015.0,"Potato, scalloped, NFS",0.892
67203510.0,"APPLE-GRAPE JUICE, BABY, W/ CALCIUM",67202010.0,"Apple juice, with added calcium, baby food",0.891
71405000.0,"WHITE POTATO, HASH BROWN",71404000.0,"Potato, hash brown, NFS",0.891
58106520.0,"PIZZA W/ MEAT, THIN CRUST",58107050.0,"Pizza, no cheese, thin crust",0.89
71501310.0,"WHITE POTATO, FROM FRESH, MASHED, NS AS TO MILK OR FAT",71501010.0,"Potato, mashed, from fresh, made with milk",0.89
27560320.0,"Frankfurter or hot dog, plain, on bun",25210110.0,"Frankfurter or hot dog, NFS",0.89
51208000.0,"Bagel, whole wheat, 100%",51301750.0,"Bagel, whole wheat",0.89
51186020.0,"MUFFIN, ENGLISH, TOASTED",51186010.0,"Muffin, English",0.889
51155010.0,"Roll, French or Vienna, toasted",51155000.0,"Roll, French or Vienna",0.889
11710389.0,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with baby water",11710379.0,"Infant formula, powder, made with baby water (Similac Sensitive)",0.889
32105170.0,EGG OMELET OR SCRAMBLED EGG W/ CHICKEN,32129990.0,"Egg omelet or scrambled egg, NS as to fat",0.888
51000230.0,"ROLL, NS AS TO MAJOR FLOUR, TOASTED",51000200.0,"Roll, NS as to major flour",0.888
11710387.0,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with tap water",11710377.0,"Infant formula, powder, made with tap water (Similac Sensitive)",0.888
58161404.0,"Rice, brown, with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat added in cooking",27315010.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0.887
58161402.0,"Rice, brown, with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, fat not added in cooking",27315010.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0.887
58161400.0,"Rice, brown, with vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce, NS as to fat added in cooking",27315010.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0.887
25220400.0,"BOLOGNA, PORK AND BEEF",25220410.0,"Bologna, NFS",0.886
58104140.0,NACHOS W/ BEEF & CHEESE,58104120.0,Nachos with cheese,0.886
64134000.0,"FRUIT SMOOTHIE DRINK, W/ FRUIT ONLY",11553100.0,"Fruit smoothie, NFS",0.886
53540250.0,"BREAKFAST BAR, CEREAL CRUST W/ FRUIT FILLING, FAT FREE",53714520.0,"Breakfast bar, cereal crust with fruit filling, lowfat",0.886
53544250.0,"GRANOLA BAR, COATED W/ NONCHOCOLATE COATING",53714250.0,"Cereal or granola bar, coated with non-chocolate coating",0.886
53511500.0,"DANISH PASTRY, W/ CHEESE, FAT FREE, NO CHOL",53511000.0,"Danish pastry, with cheese",0.885
71201250.0,"WHITE POTATO, CHIPS, RESTRUCTURED, BAKED",71201210.0,"Potato chips, restructured, fat free",0.885
54430010.0,Yogurt chips,11400000.0,"Yogurt, NFS",0.885
58106530.0,"PIZZA W/ MEAT, THICK CRUST",58107100.0,"Pizza, no cheese, thick crust",0.885
92301080.0,"TEA, PRESWEETENED W/ LOW CALORIE SWEETENER",92130030.0,"Coffee, pre-sweetened with low calorie sweetener",0.885
53544410.0,Quaker Granola Bites,53711100.0,Cereal or granola bar (Quaker Granola Bites),0.884
81103120.0,"Margarine-like spread, tub, unsalted",81104100.0,"Margarine like spread, fat free, tub, salted",0.884
11710102.0,"ENFAMIL, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11710632.0,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",0.884
53542210.0,"GRANOLA BAR, NONFAT",53712210.0,"Cereal or granola bar, nonfat",0.883
11740302.0,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, FR  LIQUID CONCENTRATE",11740312.0,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)",0.882
58132460.0,SPAGHETTI W/ TOMATO & MEAT,27162040.0,Spaghetti sauce with meat,0.882
53543000.0,"Granola bar, oats, reduced sugar",53713000.0,"Cereal or granola bar, reduced sugar, NFS",0.882
