DRXFDCD,foodcode,food_description
51301760,51301750,"Bagel, whole wheat"
51301810,51301800,"Bagel, wheat, with raisins"
51301830,51301820,"Bagel, wheat, with fruit and nuts"
51301910,51301900,"Bagel, wheat bran"
51302510,51302500,"Muffin, English, wheat bran"
51302530,51302520,"Muffin, English, wheat bran, with raisins"
51303020,51303010,"Muffin, English, wheat or cracked wheat"
51303040,51303030,"Muffin, English, whole wheat"
51303060,51303050,"Muffin, English, wheat or cracked wheat, with raisins"
51303080,51303070,"Muffin, English, whole wheat, with raisins"
51320020,51320010,"Roll, wheat or cracked wheat"
51320040,51320010,"Roll, wheat or cracked wheat"
51320050,51320010,"Roll, wheat or cracked wheat"
51320510,51320500,"Roll, whole wheat"
51320530,51320500,"Roll, whole wheat"
51320540,51320500,"Roll, whole wheat"
51401210,51401200,"Muffin, English, rye"
51404510,51404500,"Bagel, pumpernickel"
51404560,51404550,"Muffin, English, pumpernickel"
51421100,51421000,"Roll, pumpernickel"
51501090,51501080,"Bagel, oat bran"
51502020,51502010,"Roll, oatmeal"
51502100,51620000,"Roll, multigrain"
51502110,51620000,"Roll, multigrain"
51503010,51503000,"Muffin, English, oat bran"
51503050,51503040,"Muffin, English, oat bran, with raisins"
51620010,51620000,"Roll, multigrain"
51630010,51630000,"Bagel, multigrain"
51630110,51630100,"Bagel, multigrain, with raisins"
51630210,51630200,"Muffin, English, multigrain"
53371100,53370000,"Pie, chiffon, not chocolate"
56201800,56201750,"Cornstarch, dry"
61204600,61204200,"Lemon juice, 100%, canned or bottled"
61207600,61207200,"Lime juice, 100%, canned or bottled"
61213000,61213220,"Tangerine juice, 100%"
61213620,61213220,"Tangerine juice, 100%"
73405100,73405000,"Sweet potato, boiled, peel not eaten, NS as to fat added in cooking"
73405110,73405010,"Sweet potato, boiled, peel not eaten, fat not added in cooking"
73405120,73405020,"Sweet potato, boiled, peel not eaten, fat added in cooking, NS as to type of fat"
73407010,73407000,"Sweet potato, canned"
73407020,73407000,"Sweet potato, canned"
73407030,73407000,"Sweet potato, canned"
74304000,74302000,Tomato juice cocktail
92105000,92191100,"Coffee, instant, not reconstituted"
92105010,92103000,"Coffee, instant, reconstituted"
92191000,92191100,"Coffee, instant, not reconstituted"
92306050,92306000,"Tea, hot, herbal"
92417010,92410550,"Soft drink, fruit flavored, caffeine containing"
92431000,92433000,"Fruit juice drink, noncitrus, carbonated"
92611600,92610020,"Horchata beverage, made with water"
93301300,93301110,Martini
93401300,92801000,"Wine, nonalcoholic"
51207010,51300300,"Bread, sprouted wheat  "
51207020,51300310,"Bread, sprouted wheat, toasted"
75302020,75302205,"Beans, string, green, with onions, cooked, fat not added in cooking"
75302050,75302505,"Beans, string, green, and potatoes, cooked, fat not added in cooking"
75316010,75316030,"Squash, summer, yellow or green, with tomato sauce, cooked, fat not added in cooking"
92205000,11360000,Rice milk
